x2,thin,deg,dummy,thin,min_val,avg_val,max_val
37.38601824,37,32.18666667,,,,,
37.48733536,37,32.18666667,,,,,
37.58865248,37,32.24333333,,,,,
37.6899696,37,32.24333333,,,,,
37.79128673,37,32.3,,,,,
37.89260385,37,32.35666667,,,,,
37.99392097,37,32.41333333,,,,,
38.0952381,38,32.41333333,,,,,
38.19655522,38,32.41333333,,,,,
38.29787234,38,32.41333333,,,,,
38.39918946,38,32.47,,,,,
38.50050659,38,32.47,,,,,
38.60182371,38,32.47,,,,,
38.70314083,38,32.47,,,,,
38.80445795,38,32.47,,,,,
38.90577508,38,32.58333333,,,,,
39.0070922,39,32.64,,,,,
39.10840932,39,32.64,,,,,
39.20972644,39,32.69666667,,,,,
39.31104357,39,32.69666667,,,,,
39.41236069,39,32.69666667,,,,,
39.51367781,39,32.69666667,,,,,
39.61499493,39,32.69666667,,,,,
39.71631206,39,32.69666667,,,,,
39.81762918,39,32.69666667,,,,,
39.9189463,39,32.75333333,,,,,
40.02026342,40,32.75333333,,,,,
40.12158055,40,32.86666667,,,,,
40.22289767,40,32.92333333,,,,,
40.32421479,40,32.92333333,,,,,
40.42553191,40,32.92333333,,,,,
40.52684904,40,32.92333333,,,,,
40.62816616,40,32.92333333,,,,,
40.72948328,40,32.98,,,,,
40.83080041,40,32.98,,,,,
40.93211753,40,32.98,,,,,
41.03343465,41,32.98,,,,,
41.13475177,41,32.98,,,,,
41.2360689,41,32.98,,,,,
41.33738602,41,33.03666667,,,,,
41.43870314,41,33.15,,,,,
41.54002026,41,33.15,,,,,
41.64133739,41,33.15,,,,,
41.74265451,41,33.20666667,,,,,
41.84397163,41,33.20666667,,,,,
41.94528875,41,33.20666667,,,,,
42.04660588,42,33.20666667,,,,,
42.147923,42,33.20666667,,,,,
42.24924012,42,33.20666667,,,,,
42.35055724,42,33.20666667,,,,,
42.45187437,42,33.20666667,,,,,
42.55319149,42,33.20666667,,,,,
42.65450861,42,33.20666667,,,,,
42.75582573,42,33.26333333,,,,,
42.85714286,42,33.32,,,,,
42.95845998,42,33.37666667,,,,,
43.0597771,43,33.43333333,,,,,
43.16109422,43,33.43333333,,,,,
43.26241135,43,33.43333333,,,,,
43.36372847,43,33.43333333,,,,,
43.46504559,43,33.43333333,,,,,
43.56636272,43,33.43333333,,,,,
43.66767984,43,33.43333333,,,,,
43.76899696,43,33.49,,,,,
43.87031408,43,33.49,,,,,
43.97163121,43,33.49,,,,,
44.07294833,44,33.49,,,,,
44.17426545,44,33.49,,,,,
44.27558257,44,33.49,,,,,
44.3768997,44,33.49,,,,,
44.47821682,44,33.49,,,,,
44.57953394,44,33.49,,,,,
44.68085106,44,33.54666667,,,,,
44.78216819,44,33.60333333,,,,,
44.88348531,44,33.66,,,,,
44.98480243,44,33.66,,,,,
45.08611955,45,33.66,,,,,
45.18743668,45,33.66,,,,,
45.2887538,45,33.71666667,,,,,
45.39007092,45,33.71666667,,,,,
45.49138804,45,33.71666667,,,,,
45.59270517,45,33.71666667,,,,,
45.69402229,45,33.71666667,,,,,
45.79533941,45,33.71666667,,,,,
45.89665653,45,33.71666667,,,,,
45.99797366,45,33.71666667,,,,,
46.09929078,46,33.71666667,,,,,
46.2006079,46,33.71666667,,,,,
46.30192503,46,33.71666667,,,,,
46.40324215,46,33.71666667,,,,,
46.50455927,46,33.71666667,,,,,
46.60587639,46,33.71666667,,,,,
46.70719352,46,33.71666667,,,,,
46.80851064,46,33.71666667,,,,,
46.90982776,46,33.71666667,,,,,
47.01114488,47,33.77333333,,,,,
47.11246201,47,33.77333333,,,,,
47.21377913,47,33.77333333,,,,,
47.31509625,47,33.77333333,,,,,
47.41641337,47,34,,,,,
47.5177305,47,34,,,,,
47.61904762,47,34,,,,,
47.72036474,47,34,,,,,
47.82168186,47,34,,,,,
47.92299899,47,34,,,,,
48.02431611,48,34,,,,,
48.12563323,48,34,,,,,
48.22695035,48,34,,,,,
48.32826748,48,34,,,,,
48.4295846,48,34,,,,,
48.53090172,48,34,,,,,
48.63221884,48,34,,,,,
48.73353597,48,34,,,,,
48.83485309,48,34,,,,,
48.93617021,48,34,,,,,
49.03748734,49,34,,,,,
49.13880446,49,34,,,,,
49.24012158,49,34,,,,,
49.3414387,49,34,,,,,
49.44275583,49,34,,,,,
49.54407295,49,34,,,,,
49.64539007,49,34,,,,,
49.74670719,49,34,,,,,
49.84802432,49,34,,,,,
49.94934144,49,34,,,,,
50.05065856,50,34,,,,,
50.15197568,50,34,,,,,
50.25329281,50,34,,,,,
50.35460993,50,34,,,,,
50.45592705,50,34,,,,,
50.55724417,50,34,,,,,
50.6585613,50,34,,,,,
50.75987842,50,34,,,,,
50.86119554,50,34,,,,,
50.96251266,50,34,,,,,
51.06382979,51,34,,,,,
51.16514691,51,34,,,,,
51.26646403,51,34,,,,,
51.36778116,51,34,,,,,
51.46909828,51,34,,,,,
51.5704154,51,34,,,,,
51.67173252,51,34,,,,,
51.77304965,51,34,,,,,
51.87436677,51,34,,,,,
51.97568389,51,34,,,,,
52.07700101,52,34,,,,,
52.17831814,52,34,,,,,
52.27963526,52,34,,,,,
52.38095238,52,34,,,,,
52.4822695,52,34,,,,,
52.58358663,52,34,,,,,
52.68490375,52,34,,,,,
52.78622087,52,34,,,,,
52.88753799,52,34,,,,,
52.98885512,52,34,,,,,
53.09017224,53,34,,,,,
53.19148936,53,34,,,,,
53.29280648,53,34,,,,,
53.39412361,53,34,,,,,
53.49544073,53,34,,,,,
53.59675785,53,34,,,,,
53.69807497,53,34,,,,,
53.7993921,53,34,,,,,
53.90070922,53,34,,,,,
